timestamp,run_id,status,student_model,teacher_model,num_prompts,opd_microbatch_size,max_new_tokens,sampler_pods,sampler_nodes,trainer_nodes,teacher_nodes,reused_teacher,step_total_s,student_sampling_s,teacher_prefill_s,trainer_fwd_bwd_s,p2p_sync_s,notes
2026-05-16T01:36:00Z,opd-q35-397b-mb128-t1-20260516,failed_placement,Qwen3.5-35B-A3B,Qwen3.5-397B-A17B,128,128,192,16,"014 047 055 067","049 052 063 064","069 075",true,,,,,,"Kubelet admission failed: 063/064/067 had only 4 allocatable GPUs; 055 reported 0 available during GLM termination. Deleted partial launch."
2026-05-16T01:39:00Z,opd-q35-397b-mb128-t1b-20260516,failed_placement,Qwen3.5-35B-A3B,Qwen3.5-397B-A17B,128,128,192,16,"013 014 040 047","049 052 083 094","069 075",true,,,,,,"GLM run scheduled onto default sampler nodes immediately before admission; SGLang pods reported 0 GPUs available. Deleted partial launch."
2026-05-16T01:42:00Z,opd-q35-397b-mb128-t1c-20260516,failed_placement,Qwen3.5-35B-A3B,Qwen3.5-397B-A17B,128,128,192,16,"050 059 078 113","049 052 083 094","069 075",true,,,,,,"Namespace admission injected nodeSelector node-group=default; unlabelled sampler nodes failed node affinity. Deleted partial launch."
2026-05-16T01:56:00Z,opd-q35-397b-mb128-t1d-20260516,success,Qwen3.5-35B-A3B,Qwen3.5-397B-A17B,128,128,192,16,"013 014 040 055","049 052 083 094","069 075",true,44.67833818800864,15.006023721012753,3.231497380998917,15.429608105012449,9.64154732300085,"Steady non-warmup row: sampling 1626.5 output tok/s, teacher prefill 8430.1 tok/s, valid_tokens=27242, optimizer step 1.37s. Keep as 16-sampler/32-trainer baseline with successful P2P sync."
2026-05-16T02:00:00Z,opd-q35-397b-mb128-t1d-20260516-sampling-bench,sampling_benchmark,Qwen3.5-35B-A3B,,4096,,192,16,"013 014 040 055",,,true,52.23422905700863,52.23422905700863,,,,"Dispatch/SGLang sampler-only benchmark from inside Dispatch pod: 4096/4096 success, 0 errors, 782059 completion tokens, 14972.2 completion tok/s at concurrency=1024; 1024-request run reached 15506.2 completion tok/s."
2026-05-16T02:14:00Z,opd-q35-397b-mb128-t2-512p-20260516,success,Qwen3.5-35B-A3B,Qwen3.5-397B-A17B,512,128,192,16,"013 014 040 055","049 052 083 094","069 075",true,88.66376281398698,51.102761337009724,12.969162767985836,61.47153582298779,9.981599331018515,"Steady non-warmup row: valid_tokens=109573, valid throughput 1235.8 tok/s total and 38.6 tok/s/trainer GPU; sampling still four 128-request waves at 1915.9 output tok/s; teacher prefill 8448.7 tok/s. Keep as current best measured OPD shape."
2026-05-16T02:31:00Z,opd-q35-397b-mb512-t3-512p-20260516,discarded_nonwinning,Qwen3.5-35B-A3B,Qwen3.5-397B-A17B,512,512,192,16,"013 014 040 055","049 052 083 094","069 075",true,93.08798178000143,19.694853449997026,12.189612988993758,50.92938086600043,9.235448569001164,"Steady non-warmup row: valid_tokens=109411, valid throughput 1175.4 tok/s total and 36.7 tok/s/trainer GPU. Sampling improved to 4963.0 output tok/s, but total step regressed vs 512p/128mb because single OPD batch lost four-microbatch pipeline overlap. Next: decouple prepare batch from trainer microbatch."
2026-05-16T02:45:00Z,opd-q35-397b-mb128-pb512-t4-512p-20260516,discarded_nonwinning,Qwen3.5-35B-A3B,Qwen3.5-397B-A17B,512,128,192,16,"013 014 040 055","049 052 083 094","069 075",true,99.72689146298217,20.428618379024556,11.692341251997277,56.4076064999972,10.152297141990857,"Steady non-warmup row: valid_tokens=109576, valid throughput 1098.8 tok/s total and 34.3 tok/s/trainer GPU. Added/tested opd_prepare_batch_size=512 with train microbatch=128; mechanically works with 1 prepare batch and 4 train microbatches, but total step is slower than t2 because all trainer chunks wait for one large prepare wave."
2026-05-16T02:58:00Z,opd-q35-397b-mb128-t5-1024p-20260516,success_previous_best,Qwen3.5-35B-A3B,Qwen3.5-397B-A17B,1024,128,192,16,"013 014 040 055","049 052 083 094","069 075",true,147.78676313901087,101.33538194399443,24.631193973007612,121.76126307601226,9.050575259985635,"Steady non-warmup row: valid_tokens=219077, valid throughput 1482.4 tok/s total and 46.3 tok/s/trainer GPU. Keeps 128-prompt pipelined prepare/train microbatches and doubles total prompts vs t2; wall-clock step is longer but useful distillation throughput was the best before t6."
2026-05-16T03:13:00Z,opd-q35-c4-t6-1024p-20260516,success_previous_best,Qwen3.5-35B-A3B,Qwen3.5-397B-A17B,1024,128,192,16,"013 014 040 055","049 052 083 094","069 075",true,130.10729327000445,130.8169518809882,43.087041341961594,97.43340135298786,9.607424528017873,"Steady non-warmup row with opd_prepare_concurrency=4: valid_tokens=219040, valid throughput 1683.5 tok/s total and 52.6 tok/s/trainer GPU. Prepare window fell to 48.27s; window throughput was 4051.3 sampled output tok/s and 4537.4 teacher prefill tok/s. Previous best, superseded by t15."
